Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
1/22/23 18:30,Nowata,OK,USA,Light,30mins,"Amber light steady held position, no flashing, no movement but hanging in the sky the entire duration",3/6/23,
1/22/23 17:40,layton utah,,,Cylinder,10 seconds,"Bright orange light zoomed right in front of me way up in the sky as I was driving, and then moved away backup into space at lightspeed",3/6/23,
1/22/23 15:16,Manila,Metro Manila,Philippines,Unknown,1:03 mins video,Accidentally taken video footage on Plane window,3/6/23,Yes
1/22/23 04:37,Penn valley,CA,USA,Cylinder,6 seconds,Saw something reflecting off sun and disapeared,3/6/23,
1/21/23 19:55,Vallejo,CA,USA,Changing,10-12 min approx,"Have video, but strange and not a drone!!",3/6/23,Yes
1/21/23 19:29,Athens,OH,USA,Light,over 10 minutes,"Green, blue, purple, and white flashing light",3/6/23,
1/21/23 18:12,Eastvale,CA,USA,Changing,5-6 min,We saw the light and took some videos and a few photos. It is not the first time we have seen things from our vantage point,3/6/23,
1/21/23 00:02,Essex,MD,USA,Other,1 frame Doorbell CAM,This is a single frame of a doorbell camera.showing a stange light and contrail and I was awoken by loud noise.,3/6/23,Yes
1/20/23 22:00,Cincinnati,null,,Chevron,Five Minutes,"Sharp cutout in heavy cloud layer, stayed static and lines very defined before clouds immediately recondensed.",3/6/23,Yes
1/20/23 22:00,Seattle,WA,USA,Orb,From 4AM to 7AM Sicily,Witness a UAP leave the side of Mt Etna past 4AM and then a massive orb enter Etna from 6:20AM - 6:50AM,3/6/23,
1/20/23 21:37,Staten Island,NY,USA,Light,approx 30 seconds,2 formations of orange objects seen crossing sky at night,3/6/23,Yes
1/20/23 21:01,Spokane,WA,USA,Changing,Currently active,Bright Orange Light Birthing New Orange Lights,3/6/23,
1/20/23 21:00,Pueblo,CO,USA,Other,20-30 seconds,An odd semi transparent shape that reacted to being noticed.,4/9/23,
1/20/23 20:00,Flint,MI,USA,Unknown,10 minutes,Two extremely bright lights hovering over a popular record store,3/6/23,
1/20/23 18:30,Collins,MO,USA,Rectangle,Lights object no noise sk,Closest I've ever seen unbelievable,3/6/23,Yes
1/20/23 18:10,,,United Kingdom,Light,8 minutes,4 lights in a trapezoid shape turning to 3,3/6/23,
1/20/23 18:10,Silverdale,WA,USA,Other,45 min,Individuals in Silverdale visually saw object. Individuals in Bremerton made Radar contact with object .,3/6/23,
1/20/23 17:14,Montevallo,AL,USA,Circle,1 min,Bright white light moving very slow,3/6/23,
1/20/23 16:08,Asuncion,Central Department,Paraguay,Circle,0:29,We were at the pool looking at the clouds,3/6/23,Yes
1/20/23 16:05,Asuncion,Central Department,Paraguay,Oval,Fueron como 20 minutos,"
Three objects were seen appearing from the west side where the sun was and they were placed forming a triangle crossing to the west",3/6/23,Yes
1/20/23 08:00,Oklahoma City,OK,USA,Sphere,about 30 seconds,"I was working traffic control in Security, when I noticed a black sphere floating by. It was the size of a SUV, maybe two.",3/6/23,
